datetime,values
2016-04-19 10:00:00,3248
2016-04-19 11:00:00,3273
2016-04-19 12:00:00,3110
2016-04-19 13:00:00,3270
2016-04-19 14:00:00,3266
2016-04-19 15:00:00,3229
2016-04-19 16:00:00,3287
2016-04-19 17:00:00,3279
2016-04-19 18:00:00,3351
2016-04-19 19:00:00,3235
2016-04-19 20:00:00,3083
2016-04-19 21:00:00,2955
2016-04-19 22:00:00,2865
2016-04-19 23:00:00,2678
2016-04-20 00:00:00,2469
2016-04-20 01:00:00,2349
2016-04-20 02:00:00,2329
2016-04-20 03:00:00,2350
2016-04-20 04:00:00,2397
2016-04-20 05:00:00,2464
2016-04-20 06:00:00,2646
2016-04-20 07:00:00,2811
2016-04-20 08:00:00,3021
2016-04-20 09:00:00,3215
2016-04-20 10:00:00,3258
2016-04-20 11:00:00,3265
2016-04-20 12:00:00,3104
2016-04-20 13:00:00,3245
2016-04-20 14:00:00,3270
2016-04-20 15:00:00,3247
2016-04-20 16:00:00,3267
2016-04-20 17:00:00,3236
2016-04-20 18:00:00,3349
2016-04-20 19:00:00,3293
2016-04-20 20:00:00,3140
2016-04-20 21:00:00,3005
2016-04-20 22:00:00,2918
2016-04-20 23:00:00,2726
2016-04-21 00:00:00,2517
2016-04-21 01:00:00,2394
2016-04-21 02:00:00,2380
2016-04-21 03:00:00,2398
2016-04-21 04:00:00,2435
2016-04-21 05:00:00,2499
2016-04-21 06:00:00,2682
2016-04-21 07:00:00,2894
2016-04-21 08:00:00,3135
2016-04-21 09:00:00,3264
2016-04-21 10:00:00,3352
2016-04-21 11:00:00,3386
2016-04-21 12:00:00,3224
2016-04-21 13:00:00,3413
2016-04-21 14:00:00,3435
2016-04-21 15:00:00,3413
2016-04-21 16:00:00,3428
2016-04-21 17:00:00,3441
2016-04-21 18:00:00,3484
2016-04-21 19:00:00,3357
2016-04-21 20:00:00,3193
2016-04-21 21:00:00,3051
2016-04-21 22:00:00,2946
2016-04-21 23:00:00,2746
2016-04-22 00:00:00,2528
2016-04-22 01:00:00,2400
2016-04-22 02:00:00,2389
2016-04-22 03:00:00,2407
2016-04-22 04:00:00,2434
2016-04-22 05:00:00,2494
2016-04-22 06:00:00,2662
2016-04-22 07:00:00,2853
2016-04-22 08:00:00,3083
2016-04-22 09:00:00,3309
2016-04-22 10:00:00,3377
2016-04-22 11:00:00,3363
2016-04-22 12:00:00,3189
2016-04-22 13:00:00,3398
2016-04-22 14:00:00,3434
2016-04-22 15:00:00,3386
2016-04-22 16:00:00,3361
2016-04-22 17:00:00,3310
2016-04-22 18:00:00,3371
2016-04-22 19:00:00,3257
2016-04-22 20:00:00,3105
2016-04-22 21:00:00,2964
2016-04-22 22:00:00,2875
2016-04-22 23:00:00,2701
2016-04-23 00:00:00,2504
2016-04-23 01:00:00,2378
2016-04-23 02:00:00,2344
2016-04-23 03:00:00,2340
2016-04-23 04:00:00,2337
2016-04-23 05:00:00,2348
2016-04-23 06:00:00,2392
2016-04-23 07:00:00,2523
2016-04-23 08:00:00,2716
2016-04-23 09:00:00,2912
2016-04-23 10:00:00,2975
2016-04-23 11:00:00,2972
2016-04-23 12:00:00,2918
2016-04-23 13:00:00,2960
2016-04-23 14:00:00,2959
2016-04-23 15:00:00,2935
2016-04-23 16:00:00,2948
2016-04-23 17:00:00,2996
2016-04-23 18:00:00,3145
2016-04-23 19:00:00,3095
2016-04-23 20:00:00,2982
2016-04-23 21:00:00,2810
2016-04-23 22:00:00,2663
2016-04-23 23:00:00,2496
2016-04-24 00:00:00,2313
2016-04-24 01:00:00,2216
2016-04-24 02:00:00,2197
2016-04-24 03:00:00,2194
2016-04-24 04:00:00,2172
2016-04-24 05:00:00,2176
2016-04-24 06:00:00,2192
2016-04-24 07:00:00,2343
2016-04-24 08:00:00,2568
2016-04-24 09:00:00,2730
2016-04-24 10:00:00,2780
2016-04-24 11:00:00,2754
2016-04-24 12:00:00,2697
2016-04-24 13:00:00,2677
2016-04-24 14:00:00,2678
2016-04-24 15:00:00,2675
2016-04-24 16:00:00,2732
2016-04-24 17:00:00,2858
2016-04-24 18:00:00,3048
2016-04-24 19:00:00,3029
2016-04-24 20:00:00,2926
2016-04-24 21:00:00,2770
2016-04-24 22:00:00,2588
2016-04-24 23:00:00,2409
2016-04-25 00:00:00,2252
2016-04-25 01:00:00,2163
2016-04-25 02:00:00,2163
2016-04-25 03:00:00,2193
2016-04-25 04:00:00,2248
2016-04-25 05:00:00,2326
2016-04-25 06:00:00,2514
2016-04-25 07:00:00,2722
2016-04-25 08:00:00,2962
2016-04-25 09:00:00,3153
2016-04-25 10:00:00,3205
2016-04-25 11:00:00,3245
2016-04-25 12:00:00,3160
2016-04-25 13:00:00,3342
2016-04-25 14:00:00,3365
2016-04-25 15:00:00,3324
2016-04-25 16:00:00,3335
2016-04-25 17:00:00,3295
2016-04-25 18:00:00,3375
2016-04-25 19:00:00,3272
2016-04-25 20:00:00,3118
2016-04-25 21:00:00,2976
2016-04-25 22:00:00,2901
2016-04-25 23:00:00,2728
2016-04-26 00:00:00,2536
2016-04-26 01:00:00,2419
2016-04-26 02:00:00,2407
2016-04-26 03:00:00,2426
2016-04-26 04:00:00,2462
2016-04-26 05:00:00,2503
2016-04-26 06:00:00,2659
2016-04-26 07:00:00,2859
2016-04-26 08:00:00,3093
2016-04-26 09:00:00,3334
2016-04-26 10:00:00,3408
2016-04-26 11:00:00,3451
2016-04-26 12:00:00,3293
2016-04-26 13:00:00,3441
2016-04-26 14:00:00,3467
2016-04-26 15:00:00,3445
2016-04-26 16:00:00,3446
2016-04-26 17:00:00,3368
2016-04-26 18:00:00,3427
2016-04-26 19:00:00,3350
2016-04-26 20:00:00,3178
2016-04-26 21:00:00,3034
2016-04-26 22:00:00,2926
2016-04-26 23:00:00,2750
2016-04-27 00:00:00,2530
2016-04-27 01:00:00,2409
2016-04-27 02:00:00,2387
2016-04-27 03:00:00,2411
2016-04-27 04:00:00,2448
2016-04-27 05:00:00,2472
2016-04-27 06:00:00,2635
2016-04-27 07:00:00,2864
2016-04-27 08:00:00,3116
2016-04-27 09:00:00,3368
2016-04-27 10:00:00,3408
2016-04-27 11:00:00,3437
2016-04-27 12:00:00,3270
2016-04-27 13:00:00,3411
2016-04-27 14:00:00,3397
2016-04-27 15:00:00,3386
2016-04-27 16:00:00,3398
2016-04-27 17:00:00,3372
2016-04-27 18:00:00,3408
2016-04-27 19:00:00,3308
2016-04-27 20:00:00,3138
2016-04-27 21:00:00,2988
2016-04-27 22:00:00,2873
2016-04-27 23:00:00,2688
2016-04-28 00:00:00,2510
2016-04-28 01:00:00,2396
2016-04-28 02:00:00,2376
2016-04-28 03:00:00,2406
2016-04-28 04:00:00,2434
2016-04-28 05:00:00,2514
2016-04-28 06:00:00,2718
2016-04-28 07:00:00,2948
2016-04-28 08:00:00,3199
2016-04-28 09:00:00,3437
2016-04-28 10:00:00,3488
