time,latitude,longitude,depth,mag
2016-04-18T19:58:28.000Z,"51.3245","-178.2408","25.4","3.1"
2016-04-18T19:43:01.000Z,"-19.109","-69.499","123.2","4.4"
2016-04-18T19:12:37.630Z,"-1.0294","-80.8448",10,"4.6"
2016-04-18T19:10:00.200Z,"19.121","-64.246",7,3
2016-04-18T18:38:10.690Z,"-1.0057","-80.8377",10,"4.9"
2016-04-18T18:02:12.000Z,"61.6088","-151.2205","7.5","2.6"
2016-04-18T17:31:28.000Z,"55.5027","-135.048","17.2","2.9"
2016-04-18T17:13:10.100Z,"19.4066","-64.8054",8,"3.2"
2016-04-18T17:07:33.520Z,"-0.3554","-80.5168",10,"4.5"
2016-04-18T16:43:52.000Z,"51.4895","-179.753",77,"2.5"
2016-04-18T15:29:55.060Z,"12.9497","92.3291","38.4","4.7"
2016-04-18T15:04:59.000Z,"52.3582","-175.3117","242.5","2.5"
2016-04-18T14:05:23.000Z,"51.1858","-178.0652","25.8",3
2016-04-18T13:25:44.410Z,"-0.2772","-80.2984",10,"5.1"
2016-04-18T13:06:09.750Z,"-19.4924","169.0909","65.83","5.9"
2016-04-18T12:35:33.000Z,"52.5963","-169.262","42.3","3.1"
2016-04-18T11:49:26.000Z,"52.3698","-169.3094","23.5","2.6"
2016-04-18T11:42:00.180Z,"33.0126","131.092","10.7","5.3"
2016-04-18T11:38:38.220Z,"-31.7154","-71.1747","39.42","5.6"
2016-04-18T11:08:40.820Z,"45.0378333","-111.868","6.1","2.71"
2016-04-18T10:21:35.400Z,"19.5109","-64.708",37,"3.7"
2016-04-18T09:52:46.700Z,"-1.7826","138.6875","31.1","4.6"
2016-04-18T09:21:22.000Z,"57.1805","-157.5063","1.6","2.7"
2016-04-18T07:56:59.780Z,"45.035","-111.8718333","4.64","2.92"
2016-04-18T06:46:16.720Z,"42.51","26.0468","16.53","4.5"
2016-04-18T06:20:22.220Z,"-17.4866","-173.933","136.42","4.4"
2016-04-18T06:09:30.000Z,"57.2298","-157.6783","11.5","2.8"
2016-04-18T05:59:00.000Z,"57.229","-157.6451",12,"3.4"
2016-04-18T05:40:20.000Z,"52.0026","-174.1775","212.2","2.6"
2016-04-18T04:50:49.000Z,"58.9441","-135.1405","1.3","2.8"
2016-04-18T04:46:40.210Z,"45.0391667","-111.8666667","3.14","2.97"
2016-04-18T04:25:59.570Z,"-29.5197","-71.0331",41,"4.6"
2016-04-18T04:16:43.140Z,"45.0381667","-111.8628333","2.41","2.6"
2016-04-18T03:38:12.000Z,"57.274","-157.6791","9.9","2.5"
2016-04-18T03:08:50.000Z,"57.2742","-157.7081","2.6","2.5"
2016-04-18T02:32:34.700Z,"36.1631","-96.7729","4.071","2.6"
2016-04-18T02:09:26.000Z,"-0.7","-81.08",5,"3.9"
2016-04-18T02:08:21.000Z,"57.0026","-157.7227","13.4","2.6"
2016-04-18T01:58:39.210Z,"45.0381667","-111.8646667","1.98","3.16"
2016-04-18T00:33:51.000Z,"51.7318","-178.4427","10.9",3
2016-04-17T23:39:26.640Z,"17.4467","-100.8357","36.83","4.4"
2016-04-17T23:35:43.750Z,"32.8671","130.6952",10,"4.6"
2016-04-17T23:24:18.510Z,"37.0351","141.299","44.33","4.4"
2016-04-17T23:12:29.550Z,"23.1741","121.0545",10,"4.2"
2016-04-17T22:26:19.000Z,"49.6811","-177.8098","9.3","2.9"
2016-04-17T20:57:43.000Z,"57.3964","-158.01",34,"2.5"
2016-04-17T20:46:59.000Z,"59.7458","-153.0863","104.1","3.5"
2016-04-17T20:38:01.000Z,"57.2152","-158.1811","22.1","2.6"
2016-04-17T20:24:01.420Z,"0.57","-79.9003",10,"4.6"
2016-04-17T20:20:02.000Z,"51.6698","-164.2421","5.7","3.1"
2016-04-17T19:39:38.650Z,"41.0123333","-125.2201667","22.95","2.62"
2016-04-17T19:33:46.500Z,"-58.0282","-25.3338","59.39","5.1"
2016-04-17T19:24:42.280Z,"-31.4595","-71.9266","35.53","4.2"
2016-04-17T19:07:38.720Z,"1.2155","126.9479","49.06","4.4"
2016-04-17T19:00:33.490Z,"9.2234","-80.6341",10,"4.4"
2016-04-17T18:24:20.500Z,"-0.0226","123.3864","134.88","4.4"
2016-04-17T18:02:05.400Z,"19.426","-64.658",24,"2.8"
2016-04-17T17:19:01.310Z,"12.6419","-88.0699","73.64","4.8"
2016-04-17T16:42:42.000Z,"66.0572","-140.5965","18.6","2.6"
2016-04-17T16:38:15.000Z,"57.241","-157.8851","28.1","2.5"
2016-04-17T16:17:17.500Z,"69.1362","-53.4823","15.03","4.5"
2016-04-17T15:06:29.000Z,"63.4181","-149.566","106.8","2.6"
2016-04-17T14:59:44.960Z,"-30.752","-71.5038","37.16","4.8"
2016-04-17T14:35:26.500Z,"18.0081","-68.3236",80,"3.3"
2016-04-17T14:02:48.000Z,"52.1347","179.6943","189.8","2.9"
2016-04-17T13:54:50.740Z,"37.8463","23.4879","20.78","4.4"
2016-04-17T13:39:25.980Z,"-4.9957","102.9064","52.15","4.4"
2016-04-17T12:15:29.420Z,"-8.2819","124.4352","34.87","4.7"
2016-04-17T12:09:52.000Z,"53.528","-159.1404",12,3
2016-04-17T11:35:42.190Z,"35.297","-97.7815","5.88","2.5"
2016-04-17T11:34:41.190Z,"35.774","140.2345","57.9","4.5"
2016-04-17T11:15:54.000Z,"50.8677","-173.3508","10.8","2.5"
2016-04-17T11:07:42.250Z,"-21.1414","-68.6249","125.34","4.4"
2016-04-17T10:23:41.710Z,"32.7334","130.5636","5.13","4.7"
2016-04-17T09:59:16.170Z,"36.4084","-98.1262","3.11",3
2016-04-17T09:23:40.980Z,"-0.2522","-80.7163",10,"5.5"
2016-04-17T09:20:49.910Z,"36.6295","-97.7076","3.74","2.5"
2016-04-17T09:19:40.170Z,"-17.512","-178.5041","553.04","4.9"
2016-04-17T09:11:53.570Z,"36.2881","-97.6506","1.39","2.5"
2016-04-17T09:07:32.000Z,"59.2175","-152.5388","63.4","3.1"
2016-04-17T08:52:28.240Z,"-0.4657","-80.7213",10,"4.5"
2016-04-17T07:53:26.300Z,"19.6135","-64.244",68,"2.9"
2016-04-17T07:31:03.720Z,"-23.5994","-174.3252",35,"5.8"
2016-04-17T07:13:58.940Z,"-0.4388","-80.2668",10,"5.6"
