年月	平均気温(℃)	降水量の合計(mm)	平均湿度(％)	日照時間(時間)	日最高気温の平均(℃)	日最低気温の平均(℃)
1901-02-01	3.7	30.2	59	208.8	9.5	-1.3
1901-03-01	7.3	131.2	62	230.1	12.9	2.1
1901-04-01	13.4	132.6	76	192.6	18.1	8.9
1901-05-01	16.1	149.3	78	191.4	20.8	12
1901-06-01	20.6	172.1	82	145.7	24.6	17.4
1901-07-01	22.1	229	88	122.5	26	19.3
1901-08-01	25.1	53.8	82	230.4	29.9	21.6
1901-09-01	22.3	130.8	80	169.5	26.7	18.9
1901-10-01	16.8	311.1	83	128.6	21.2	13.2
1901-11-01	10.2	63.6	74	191.8	15.7	5.5
1901-12-01	4.5	110.8	65	215.1	10.7	-0.5
1902-01-01	2.4	33.4	59	241.7	8.6	-2.4
1902-02-01	3.8	20.9	61	201	9.1	-1.2
1902-03-01	8.4	92.4	71	184.4	13.5	3.6
1902-04-01	11.6	140.3	68	194.2	16.9	6.4
1902-05-01	16.3	222.7	78	181.7	20.7	12
1902-06-01	19.8	204.7	82	181.4	24.1	16.3
1902-07-01	21.8	159.6	87	130.6	25.6	18.8
1902-08-01	22.9	310.3	87	123.1	26.2	20.2
1902-09-01	22.6	244.2	85	126.9	26.4	19.6
1902-10-01	16.6	104.7	79	154.8	21.3	12.7
1902-11-01	11.5	105.1	78	160.1	16.3	7.7
1902-12-01	7.1	115.4	71	154.5	11.4	3.7
1903-01-01	4.6	122.4	72	156.9	9	0.9
1903-02-01	4.1	80	65	176.6	8.9	-0.2
1903-03-01	7.7	165.9	74	146.4	12.1	4.2
1903-04-01	12.7	155.5	78	145.1	17.2	8.7
1903-05-01	15.9	159	75	184.7	20.6	11.7
1903-06-01	19.7	145.4	78	192.1	24.2	15.8
1903-07-01	23.2	286.8	86	154.3	26.9	20.3
1903-08-01	25.7	22.6	80	259.3	31	21.6
1903-09-01	22.3	284.4	84	127.5	26.6	18.9
1903-10-01	15.2	294.7	84	119.6	18.9	12
1903-11-01	9.1	130	87	163.3	14	4.7
1903-12-01	4.1	65.5	66	207.9	9.2	-0.2
1904-01-01	1.9	7	59	200.7	7.1	-2.3
1904-02-01	4.3	67.7	72	156.7	9	0.2
1904-03-01	6.1	101.5	71	144.2	10.2	2.6
1904-04-01	13.2	97.3	78	151.5	17.6	9.3
1904-05-01	15.7	142.4	78	159.2	19.8	11.9
1904-06-01	21.8	91.6	83	196.4	25.9	18.4
1904-07-01	24.8	239.4	84	211.2	28.7	21.7
1904-08-01	25.1	74.7	78	269	29.9	21.2
1904-09-01	21.2	200.5	81	176.2	25.3	17.6
1904-10-01	16.4	248.8	81	126.4	20.3	13.2
1904-11-01	9.1	14.5	70	217.3	15.1	3.8
1904-12-01	5.3	96.4	70	185.4	10.3	0.7
1905-01-01	4.3	59.8	69	178.8	9.2	0.1
1905-02-01	2.7	47.6	56	207.8	7.7	-1.6
1905-03-01	5.6	97.9	70	184.9	10.4	1.2
1905-04-01	10.9	152.2	74	151.8	15.6	6.6
1905-05-01	16.9	131	77	177.2	21.1	12.8
1905-06-01	20.8	237.4	87	89.9	24.1	17.9
1905-07-01	23.3	94.2	84	154.9	27.3	20.2
1905-08-01	22.2	202.5	85	113.9	25.7	19.4
1905-09-01	21.9	83.5	82	167.2	25.9	18.5
1905-10-01	16.2	70.5	79	159.2	20.3	12.6
1905-11-01	10.3	66.8	75	170.1	14.9	6
1905-12-01	6.8	86.7	76	133.7	11.2	2.9
1906-01-01	2.2	62.5	58	216.8	7.1	-2.1
1906-02-01	2.6	166.7	67	147.2	6.2	-0.5
1906-03-01	7.3	61.5	64	205	12.1	2.7
1906-04-01	12.9	43.5	70	211.5	17.9	7.9
1906-05-01	16.3	80.6	73	231.9	21	11.9
1906-06-01	18.4	165.3	80	127.8	22.1	15.2
1906-07-01	23.5	154.9	86	133.8	27	20.9
1906-08-01	24.5	253.5	82	179	28.5	21.1
1906-09-01	19.7	226.4	84	84.2	23.2	16.7
1906-10-01	15.1	220.5	79	146.4	19.3	11.5
1906-11-01	9.3	61.7	70	153.4	14.1	5
1906-12-01	5.9	22.4	64	191.9	12	0.8
1907-01-01	4	47.1	69	136.4	8.4	0
1907-02-01	2.9	4.4	57	192.6	8	-1.8
1907-03-01	5.6	144.1	67	152	10.6	1
1907-04-01	12.4	143.8	70	189.4	17.3	7.6
1907-05-01	17.1	168.1	74	236	21.9	12.5
1907-06-01	19.2	169.8	80	154.9	22.9	15.8
1907-07-01	22.7	102.9	84	187.7	26.6	19.6
1907-08-01	25.8	219	84	196.4	29.6	23
1907-09-01	21.3	265.9	83	159.9	24.7	18.4
1907-10-01	15.2	226.2	76	202.4	20.1	11.2
1907-11-01	11.2	127.6	79	124.9	15.3	7.8
1907-12-01	4.5	21.5	59	207.1	9.9	-0.3
1908-01-01	3.2	28.3	61	194.7	8.3	-1.2
1908-02-01	3.4	35.6	57	187.9	8.6	-1
1908-03-01	6.2	137	68	150.9	10.7	2
1908-04-01	12.3	185.3	76	173.1	16.9	7.7
1908-05-01	16.1	147.8	77	217.6	20.7	11.8
1908-06-01	20.9	219	82	168.8	24.9	17.6
1908-07-01	22.1	152.8	83	146.1	25.9	19.1
1908-08-01	25.4	223.6	84	227	29.5	22.3
1908-09-01	19.4	370.6	82	118.8	23.2	16.5
1908-10-01	16.1	116.5	77	153.8	20.6	12.4
1908-11-01	9.1	14.8	66	218.1	14.8	3.9
1908-12-01	4.6	60.8	64	195.9	10.2	0
1909-01-01	2.1	103.9	68	148.2	6.1	-1.4
1909-02-01	3.1	32	57	194.5	8.7	-1.6
1909-03-01	6.3	196.6	73	136.9	10.3	2.8
1909-04-01	13.6	140.3	73	215.5	18.9	8.4
1909-05-01	16.9	178.1	76	208.3	21.5	12.3
1909-06-01	20.2	172.6	83	103.8	23.8	17.3
1909-07-01	24.3	118.3	83	197.8	28.3	21
1909-08-01	25.2	92.2	80	212.2	29.7	21.7
1909-09-01	21.8	346.5	83	130.9	25.3	18.7
1909-10-01	14.8	57.8	76	149	19.4	10.9
1909-11-01	10	72.6	71	178.8	15.8	4.6
1909-12-01	4.6	0.8	63	209	10.2	-0.4
1910-01-01	4.2	119.8	75	111.7	8.4	0.7
1910-02-01	2.9	45.1	52	206.5	8.1	-1.9
1910-03-01	6.1	70.2	59	184.5	11.1	1.1
1910-04-01	12.3	79.3	71	197.3	16.9	7.9
1910-05-01	16.8	176.2	75	171	21.4	12.6
1910-06-01	20.7	112.6	84	127.3	24.6	17.3
1910-07-01	23	147.2	86	110.3	26.4	20
1910-08-01	24.1	419.9	85	139.3	27.8	21.2
1910-09-01	20.9	201.4	84	107.7	24.4	18
1910-10-01	16.1	307.9	83	108.6	19.3	13.2
1910-11-01	10.4	46.9	72	189.4	16	5.9
1910-12-01	4.3	24.2	66	194	9.7	-0.3
1911-01-01	2.5	97.5	65	166.1	6.8	-1.1
1911-02-01	5.2	30.7	62	169.3	10.1	0.8
1911-03-01	8.2	117.6	70	152.3	13	3.6
1911-04-01	13.8	130.1	69	211.2	18.5	9.3
1911-05-01	16.2	101.2	74	222.1	21.2	11.3
1911-06-01	20.8	274.5	82	130.8	24.6	17.7
1911-07-01	24.5	304.6	83	172	28.5	21.3
1911-08-01	25.6	400.5	83	201.7	29.7	22.7
1911-09-01	22.6	173.5	83	146.5	26.7	19.3
1911-10-01	15.8	150.8	77	136.5	20.1	12.2
1911-11-01	12.8	53.7	72	173.8	17.7	8.1
1911-12-01	5	32.2	66	172.9	10.1	0.7
1912-01-01	3	49.9	58	219.2	8.7	-1.4
1912-02-01	6.2	120.1	66	174.6	11.5	1.1
1912-03-01	8.1	115.6	67	166.5	12.9	3.7
1912-04-01	13	142	69	216.8	18	7.6
1912-05-01	16.7	106.1	75	210.6	21.6	12.4
1912-06-01	20.1	264.1	83	162.8	24.5	16.5
1912-07-01	24.3	152.7	84	172.7	28.5	21.1
1912-08-01	25.2	67.9	81	223.7	30.1	21.6
1912-09-01	20.2	400.7	83	78.4	23.8	17.2
1912-10-01	15.9	107.5	79	140.2	20.7	12.2
1912-11-01	9.4	106.1	74	128.5	13.9	5.4
1912-12-01	4.7	101.6	72	133.3	9.6	1.2
1913-01-01	1.9	61.1	63	205.7	7.5	-2.4
1913-02-01	4.5	82.5	61	153.1	9.5	0.4
1913-03-01	6.2	45.1	59	216.5	11.9	1
1913-04-01	13.6	68	75	158.5	18.8	9
1913-05-01	16.1	187	73	224.8	21.4	11.2
1913-06-01	20.3	149.4	79	156	24.9	16.6
1913-07-01	23.3	88.3	84	156	27.8	20.4
1913-08-01	23.8	252.2	79	211.2	28.8	20
1913-09-01	20	262.3	83	138.1	24.5	16.6
1913-10-01	15.6	244.9	81	120.1	19.7	12.3
1913-11-01	10	106.8	71	152.1	15.3	5.6
1913-12-01	5.2	49.4	69	201.7	11	0.6
1914-01-01	4.3	23.5	61	223.7	10.8	-0.8
1914-02-01	3.5	64.9	66	165.6	8.6	-0.4
1914-03-01	8.8	197	75	148.4	13.8	4.5
1914-04-01	11.8	178.2	68	209.4	17.5	6.8
1914-05-01	17.8	193.7	77	186.7	22.3	13.9
1914-06-01	21.5	124.7	81	172.7	25.5	18.3
1914-07-01	25.5	26	78	218.7	30	21.6
1914-08-01	26.4	278	78	263.2	31.3	22.7
1914-09-01	22.5	355.4	82	169.9	26.5	19.3
1914-10-01	16.1	151.8	76	210.3	21.5	11.6
1914-11-01	11.9	54	77	152.6	17.1	7.7
1914-12-01	5.8	47.2	69	193.7	11.7	0.9
1915-01-01	3.3	94	66	169.2	8	-0.8
1915-02-01	4.1	141.2	67	130.8	8.6	0.5
1915-03-01	6.6	106.3	63	217.8	11.8	2
1915-04-01	11.6	211.1	76	134.2	16.7	7.6
1915-05-01	15.9	153.8	76	212.8	20.7	11.1
1915-06-01	21.9	241.6	84	169.9	26	18.5
1915-07-01	24.2	19.5	80	221.3	28.8	20.5
1915-08-01	25.7	326.1	84	138.5	29.7	22.9
1915-09-01	22.7	213	84	132.7	26.6	19.7
1915-10-01	17.6	317.4	80	126.4	21.8	14.2
1915-11-01	11.1	84.8	78	147.9	15.6	7.2
1915-12-01	5.6	17.9	65	206.3	11.8	1
1916-01-01	5.1	27.5	65	194.1	11.4	-0.3
1916-02-01	4.1	139	68	155.4	9.2	-0.1
1916-03-01	5.8	61.1	65	178.6	11	1.1
1916-04-01	12.7	113.8	72	157.3	17.6	8.6
1916-05-01	16.9	135.2	78	188.6	21.8	12.7
