年月	平均気温(℃)	降水量の合計(mm)	平均湿度(％)	日照時間(時間)	日最高気温の平均(℃)	日最低気温の平均(℃)
1959-08-01	26.7	137.2	79	180.5	30.7	23.7
1959-09-01	24.1	162	76	121.9	28.2	21.1
1959-10-01	17.6	217.3	76	124.1	21.9	14.5
1959-11-01	12.3	117.6	72	117.2	16.7	9
1959-12-01	7	176.3	64	159.9	12.3	2.7
1960-01-01	5	31.2	51	208.9	10.6	0
1960-02-01	6.6	8.8	54	207.3	12.7	1.6
1960-03-01	9.5	71.2	55	209	14.6	5.1
1960-04-01	12.8	164.8	63	154.6	17.2	8.9
1960-05-01	17.8	124.8	74	186.9	22.3	14.3
1960-06-01	21.5	83	75	155.4	25.3	18.2
1960-07-01	25.8	31.6	76	181.3	29.8	22.6
1960-08-01	26.4	215	78	218.5	30.4	23.4
1960-09-01	23.6	177.1	78	147.9	27.8	20.8
1960-10-01	16.8	182	72	134.4	21.1	13.5
1960-11-01	12.3	123.1	72	134.1	16.5	8.7
1960-12-01	6.7	69.3	60	183.9	12.4	2.3
1961-01-01	3.6	39	54	183.6	8.9	-0.7
1961-02-01	4.5	43.5	49	197.9	10.2	-0.5
1961-03-01	8.2	106.6	61	181.1	13.4	3.9
1961-04-01	14.9	183.1	63	205.8	20.1	10.5
1961-05-01	19.8	55.5	69	191.2	24.2	15.8
1961-06-01	22.6	305.5	75	166.4	26.8	19.2
1961-07-01	27.4	29.5	74	217.2	31.9	23.9
1961-08-01	26.8	30.9	77	172.2	31.2	23.7
1961-09-01	25.3	37	72	181.1	29.8	21.8
1961-10-01	18.3	338.4	78	82.3	21.8	15.9
1961-11-01	12.7	50.7	63	161	17.8	8.6
1961-12-01	7.2	40.5	58	202.6	12.7	2.8
1962-01-01	4.5	40.5	52	210.7	9.8	-0.5
1962-02-01	5.9	13.5	48	195	11.7	0.8
1962-03-01	8.2	65.5	58	189.8	13.7	3.3
1962-04-01	14.1	124.2	61	202.6	19.2	9.7
1962-05-01	18.4	211.5	70	177	22.9	14.5
1962-06-01	20.9	244.5	76	111.8	24.7	17.8
1962-07-01	25.1	166.9	81	135.9	28.8	22.3
1962-08-01	28.1	50.1	71	270.5	32.9	24.4
1962-09-01	24.5	4.9	70	168.7	29.2	21.1
1962-10-01	16.7	119.8	70	135.9	20.9	13.3
1962-11-01	11.3	151.8	71	117.6	15.4	7.9
1962-12-01	7	62.8	62	175.8	12.3	2.5
1963-01-01	3.2	0.2	46	231.1	9.3	-2.6
1963-02-01	4.8	21.3	48	199.9	10.3	0.2
1963-03-01	7.6	86.7	59	198.8	12.6	3.2
1963-04-01	13.9	76.1	68	193.6	19.1	9.7
1963-05-01	18.4	135.1	74	102.9	22.7	15.2
1963-06-01	21.8	248.2	78	119.4	25.9	18.6
1963-07-01	25.7	65.9	76	151.9	30.1	22.6
1963-08-01	26.6	382.2	77	166.2	30.9	23.6
1963-09-01	21.4	144.2	73	123.1	25.3	18.2
1963-10-01	16.3	294.7	74	135.3	20.4	13
1963-11-01	12.1	90.6	65	164.2	16.7	8.5
1963-12-01	8.1	29.8	59	184.6	13.1	3.5
1964-01-01	5.4	144.6	60	124.6	9.7	1.6
1964-02-01	4.2	64	56	151	8.3	0.7
1964-03-01	7.6	99.7	57	199	12.7	3.1
1964-04-01	15.3	94.2	75	128.4	19.5	11.1
1964-05-01	18.9	80.4	67	209.5	23.9	14.4
1964-06-01	21.5	139.9	73	125.2	25.3	18
1964-07-01	25.5	45.9	80	153.6	29.6	22.1
1964-08-01	27.8	110.8	77	184.3	32.2	24.3
1964-09-01	22.3	132.4	77	89	25.9	19.1
1964-10-01	15.9	130.5	73	143.9	19.6	12.6
1964-11-01	11.1	50.3	62	170.6	15.6	6.7
1964-12-01	7.5	47.5	60	164.1	11.6	3.5
1965-01-01	4.4	48	57	175.4	8.7	0.6
1965-02-01	4.7	10.5	51	193.4	9.2	0.3
1965-03-01	6.9	44.5	48	252.4	11.5	2.6
1965-04-01	11.1	87	55	178.4	15.6	7
1965-05-01	17.2	400	72	189.1	21.2	13.4
1965-06-01	21.6	219.5	77	148.5	25.4	18.5
1965-07-01	24.2	97	80	102.2	27.3	21.4
1965-08-01	26.7	234.5	71	232.2	30.8	23.1
1965-09-01	22.2	204.5	72	128.6	25.7	18.9
1965-10-01	16.9	53	63	199.4	21.1	12.6
1965-11-01	12.7	131.5	61	150.2	17.1	8.6
1965-12-01	7	66	57	153.5	11.1	2.9
1966-01-01	4.6	23.6	46	195.8	9.3	0.1
1966-02-01	7.2	122	51	149.6	11.6	2.6
1966-03-01	9.6	99.9	57	150.4	13.7	5.5
1966-04-01	13.6	133.7	68	132.6	17.7	9.7
1966-05-01	17.9	196.2	62	232.6	22.3	13.4
1966-06-01	20.1	510.2	73	137.3	23.8	16.7
1966-07-01	24.4	160.8	76	112.6	27.9	21.6
1966-08-01	26.9	54.5	71	204.3	30.5	24
1966-09-01	23.2	197.1	73	122.9	26.5	20.2
1966-10-01	18.9	108.5	65	175.7	22.7	15.2
1966-11-01	12.9	29	57	132.8	17.1	8.8
1966-12-01	6.6	8	47	162.2	10.7	2.6
1967-01-01	4.4	32.2	46	194.4	8.8	0.1
1967-02-01	4.9	43.8	57	162.6	8.9	1.1
1967-03-01	9.5	69.7	54	180.8	14	4.7
1967-04-01	14.5	104.7	58	172	18.7	10.1
1967-05-01	20	49.3	62	258.3	24.7	15.7
1967-06-01	23	109.3	67	182.7	27	19.5
1967-07-01	26.3	89.2	73	143.5	30	23.5
1967-08-01	28	67.3	67	160.5	32	24.8
1967-09-01	22.6	148.8	74	98.4	26.1	19.7
1967-10-01	16.9	214.7	66	131.5	20.7	13.3
1967-11-01	12.1	61.4	61	114.1	15.6	8.8
1967-12-01	6.7	32.9	53	187.8	11	2.7
1968-01-01	5.7	9.5	44	219.2	10.5	0.9
1968-02-01	4.3	48	44	205.8	8.8	-0.1
1968-03-01	10	94	56	157.9	14.1	5.8
1968-04-01	14.1	117.5	62	192.1	18.7	10.1
1968-05-01	17.5	185.5	69	182.6	21.6	13.8
1968-06-01	22	175	72	152.9	26.2	18.7
1968-07-01	24.7	136	78	127.4	28	22.1
1968-08-01	26.6	256	79	130.5	30.2	23.4
1968-09-01	21.9	109.5	73	133.9	25.7	18.7
1968-10-01	16.3	152.5	68	101.6	19.8	13.1
1968-11-01	14.1	19.5	56	197.8	18.7	9.5
1968-12-01	10.2	188	59	137.2	13.8	6.9
1969-01-01	5.7	54.5	56	148.4	10	1.4
1969-02-01	5.7	100	60	97.1	9.3	2.1
1969-03-01	7.9	121	58	179.3	12	3.7
1969-04-01	14.6	73	61	178.5	19.2	9.9
1969-05-01	19.6	88.5	61	200.4	23.9	15.6
1969-06-01	21.8	187.5	67	156.4	26	18.2
1969-07-01	25	102	73	138.1	28.7	21.9
1969-08-01	27.2	131.5	74	148.6	31.4	23.8
1969-09-01	22.8	238.5	71	122.4	26.9	19.2
1969-10-01	17.3	146	64	140.4	21	13.5
1969-11-01	12.8	93.5	63	129	16.8	8.9
1969-12-01	7.2	7	51	199.3	11.7	2.5
1970-01-01	4.5	58.5	47	182	8.9	0.4
1970-02-01	6	34.5	51	160.1	10.3	1.7
1970-03-01	5.5	46.5	52	195.8	10	1.3
1970-04-01	13	94	68	130.2	17.3	9
1970-05-01	19.6	161.5	68	194.1	23.8	15.6
1970-06-01	20.7	218	77	90.5	24.1	17.9
1970-07-01	25.4	118.5	75	137	29.1	22.4
1970-08-01	27.4	20.5	69	187.8	31.7	24
1970-09-01	24	86	73	92.9	27.6	21
1970-10-01	17.2	98.5	71	131.5	21.2	13.3
1970-11-01	12.3	144.5	61	156.3	16.5	8.4
1970-12-01	6.8	41	54	132.5	11.1	2.7
1971-01-01	5.1	32	49	181.6	9.2	1.7
1971-02-01	5.9	38	54	148.9	9.8	1.9
1971-03-01	8.3	67.5	53	203.3	12.9	4.1
1971-04-01	13.5	134	64	164.5	17.7	9.4
1971-05-01	17.4	110	70	168.9	21.6	14
1971-06-01	21.3	91.5	73	106	24.8	18.2
1971-07-01	25.8	153.5	75	161.1	29.5	22.7
1971-08-01	26.7	195	72	203.1	30.6	23.7
1971-09-01	21.1	273	77	77.5	24.4	18.4
1971-10-01	15.5	258.5	71	121.1	18.9	12.5
1971-11-01	11.9	30.5	60	154.7	16	7.8
1971-12-01	7.9	55	55	172.4	12	3.8
1972-01-01	6.6	113.5	59	156.4	10.7	2.8
1972-02-01	5.1	142	58	112.6	8.3	2.3
1972-03-01	9.7	44	54	207.7	13.9	5.5
1972-04-01	13.4	186.5	66	181.4	17.4	9.2
1972-05-01	18.6	116	65	207.1	22.7	14.7
1972-06-01	21.4	107	71	155.7	25	18.2
1972-07-01	25.2	301	76	167	28.8	22.6
1972-08-01	26.6	94.5	70	242	30.7	23.3
1972-09-01	23.1	281	70	171.1	27.2	19.9
1972-10-01	18.5	43.5	63	149.4	22.3	14.9
1972-11-01	12.3	43	56	159.7	16.4	8.3
1972-12-01	8.1	155.5	56	161.6	12.1	4.2
1973-01-01	6.3	136	55	177.6	10.3	2.8
1973-02-01	6.9	45	52	162.9	11.4	2.8
1973-03-01	7.8	10	47	207.5	12.4	3.7
1973-04-01	15.3	143	67	163.3	19.8	11.1
1973-05-01	17.9	97.5	63	205.1	22.1	13.8
1973-06-01	19.8	121.5	74	96.3	23.2	17.2
1973-07-01	26.1	49.5	71	225.8	30.2	22.9
1973-08-01	28.5	50	69	226.4	32.7	25.5
1973-09-01	23.2	155	70	154.2	26.7	20
1973-10-01	17.4	237.5	65	151.1	21.4	13.8
1973-11-01	12.1	104.5	53	196.5	16.9	7.6
1973-12-01	6.6	0	40	229	11.5	1.7
1974-01-01	4.4	29	40	229.5	8.9	0.6
1974-02-01	5.1	58.5	55	134.8	9.3	1.4
1974-03-01	7.3	114	57	183.7	11.7	3.6
1974-04-01	14.8	151	62	202.8	19.3	10.6
1974-05-01	19.3	93.5	62	231.5	23.7	15.3
1974-06-01	21.9	204.5	74	137	25.5	18.9
1974-07-01	23.4	270.5	79	108.9	26.9	20.6
1974-08-01	27.1	179	73	198.3	31.1	24.1
1974-09-01	22.8	246.5	72	132.5	26.1	20
1974-10-01	17.8	165	67	99.6	21.1	14.9
1974-11-01	11.7	30.5	54	154.5	15.7	8
1974-12-01	6.7	38.5	56	151.2	10.6	3.1
1975-01-01	4.7	67.5	51	182.7	8.8	0.8
1975-02-01	5.1	75	48	176.4	9.3	1.3
1975-03-01	7.9	108	58	182.3	12.3	4
1975-04-01	14.3	161.5	65	152.4	18.4	10.7
1975-05-01	18.6	151	66	213.1	22.7	14.9
1975-06-01	21.6	106.5	78	82.9	25	18.8
1975-07-01	25.6	175.5	70	189.7	29.4	22.7
1975-08-01	27.3	26.5	67	250.8	31.5	24
1975-09-01	25.2	99.5	67	192.7	29.6	21.7
1975-10-01	17.3	273	69	100.5	20.5	14.4
1975-11-01	12.7	245	67	124	16.3	9.7
1975-12-01	6.7	51.5	57	171.4	10.7	3.1
1976-01-01	5.4	0.5	44	225.2	10.6	0.7
1976-02-01	6.8	128	59	137.3	10.7	2.9
1976-03-01	9	87	59	148.2	13.1	5.1
1976-04-01	13	129	67	120.2	16.7	9.2
1976-05-01	17.7	218	70	174.5	21.9	13.9
1976-06-01	21.5	186	76	83.9	25	18.7
1976-07-01	23.9	102	77	178.8	27.6	20.7
1976-08-01	25.1	159	76	156.6	29.1	21.9
1976-09-01	22	284	74	128.6	25.7	18.9
1976-10-01	17.5	155	66	141.5	21.3	14.1
1976-11-01	11.2	78	59	132.6	15	7.4
1976-12-01	7.3	31	52	173.3	11.5	3.4
1977-01-01	3.4	19.5	48	161.5	7.5	0
1977-02-01	4.9	27	47	188.6	9.4	0.5
1977-03-01	9.3	167	61	141.9	13.3	5.3
1977-04-01	15.1	110.5	62	182.1	19.5	10.7
1977-05-01	18.7	96.5	62	225	23	14.5
1977-06-01	20.9	202.5	76	99.5	24	18.3
1977-07-01	25.8	91	72	204.3	29.8	22.5
1977-08-01	25	290.5	77	100.8	28.4	22.3
1977-09-01	24.3	233.5	72	133	27.7	21.4
1977-10-01	18.7	60	67	173.9	22.6	15.2
1977-11-01	14.8	102.5	65	136.5	18.4	11.4
1977-12-01	8.9	53.5	55	177.4	13.3	5
1978-01-01	5.6	28	50	160	9.7	1.7
1978-02-01	4.2	32	49	157.7	8.4	0.6
1978-03-01	8.7	115.5	52	193.1	13.1	4.8
1978-04-01	13.9	186.5	61	163.9	17.8	10.2
1978-05-01	19	130	68	167.2	22.7	15.7
1978-06-01	23.8	104	71	192.6	27.5	20.8
1978-07-01	27.8	45	72	217.1	31.5	24.9
1978-08-01	28.9	26	66	255.6	33	25.6
1978-09-01	22.2	124	73	102.2	25.3	19.5
1978-10-01	17.3	147	67	132.9	21.1	13.7
1978-11-01	12.9	65	60	160.2	16.5	9.3
1978-12-01	8.5	27	54	154.7	12.8	4.5
1979-01-01	6.6	59	53	179.5	10.9	2.4
1979-02-01	8.4	96	58	164.6	12.5	4.9
1979-03-01	9.9	92	51	190.2	13.8	5.8
1979-04-01	13.9	109.5	59	161.3	17.7	10.3
1979-05-01	18.6	148.5	61	230.6	22.5	15
1979-06-01	24.4	63	69	217.9	27.9	21.3
1979-07-01	25.2	88.5	72	143.1	28.5	22.4
1979-08-01	27.4	104.5	72	156	31	24.6
1979-09-01	24.1	146.5	71	119.1	27.3	21.2
1979-10-01	19.6	320.5	67	149.3	23	16.3
1979-11-01	14.3	182.5	67	102.9	17.6	11.1
1979-12-01	10.1	43	54	186.2	13.9	6.4
1980-01-01	5.6	88.5	52	182	10	1.7
1980-02-01	5.2	26	44	206.1	9.2	1.3
1980-03-01	8.2	173.5	54	157.5	12	4.9
1980-04-01	13.6	107	63	156.6	17.6	9.9
1980-05-01	19.2	154.5	67	204.2	23.4	15.2
1980-06-01	23.6	172.5	72	146.7	27	20.9
1980-07-01	23.8	202	79	95	27.4	21.1
1980-08-01	23.4	168.5	77	105.3	26.6	20.7
1980-09-01	23	181.5	73	125.2	26.1	20.3
1980-10-01	18.2	136	64	160	21.9	14.8
1980-11-01	13	133.5	61	149.6	16.8	9.2
1980-12-01	7.7	34	51	213.2	11.9	3.8
1981-01-01	4.4	3.5	44	233.4	8.5	0.6
1981-02-01	5.3	38	51	157.3	9.2	1.9
1981-03-01	9	113	58	192.6	13	5.2
1981-04-01	13.9	166	57	207.5	18	9.5
1981-05-01	17.5	151.5	64	182.6	21.4	13.5
1981-06-01	20.2	103	76	83.2	23.6	17.2
1981-07-01	26.3	167	75	181.3	30	23.4
1981-08-01	26.2	133	71	190.7	30	23.4
1981-09-01	21.8	138.5	71	140	25.2	18.7
1981-10-01	17.6	343.5	63	161.2	21.1	14.4
1981-11-01	10.4	99	61	130.6	13.9	7.2
1981-12-01	7.6	7.5	51	206.6	11.7	3.8
1982-01-01	5.8	32.5	51	194	9.7	2.2
1982-02-01	5.5	51.5	49	168	9.3	1.8
1982-03-01	9.9	73	56	177.8	14	5.9
1982-04-01	14	134	62	177.5	17.8	10
1982-05-01	20.7	85.5	67	243.7	24.7	16.8
1982-06-01	21.4	224.5	72	152.6	24.9	18.2
1982-07-01	23.1	140	76	102.3	26.1	20.4
1982-08-01	27.1	152.5	75	170.1	30.2	24.6
1982-09-01	22.3	371.5	73	104.3	25.6	19.8
1982-10-01	18	159.5	67	171.6	21.6	14.6
1982-11-01	14.3	136	65	118.8	17.6	11.3
1982-12-01	9.5	15	58	156.1	13	5.7
1983-01-01	6.2	29.5	51	205	10.2	2.5
1983-02-01	6.1	50.5	50	202.9	10.2	2.4
1983-03-01	8.6	99	59	176	12.1	5.2
1983-04-01	15.9	114.5	69	176.6	20.3	12.1
1983-05-01	19.7	105.5	64	241.5	23.7	15.7
1983-06-01	20.5	198	72	162.7	24.2	17.1
1983-07-01	23.8	141.5	79	119.4	27.1	21.2
1983-08-01	27.5	168.5	76	163.7	31	24.6
1983-09-01	23.1	242.5	77	92.8	26.1	20.9
1983-10-01	17.7	130	66	141.6	21.2	14.3
1983-11-01	12.3	53.5	59	181.8	16.3	8.6
1983-12-01	7.1	7.5	48	217.1	11.1	3.3
1984-01-01	3.7	50	51	208.8	7.5	0.2
1984-02-01	3	51	52	182.5	6.3	0
1984-03-01	5.9	69	56	205.7	10.2	2
1984-04-01	11.6	64	65	168.2	16	7.9
1984-05-01	17.2	77.5	69	172.2	21.2	14
1984-06-01	21.8	202	79	113.2	24.9	19.2
1984-07-01	26.2	81.5	78	180.1	30	23.2
1984-08-01	28.6	31.5	70	252.3	32.4	25.7
1984-09-01	23.5	61	72	146.9	27.1	20.3
1984-10-01	17.7	73.5	64	145.9	21.2	14.6
1984-11-01	12.2	50.5	60	148.7	15.9	8.5
1984-12-01	7.7	68	57	163.3	11.5	4
1985-01-01	4.1	4.5	48	200.9	8.1	0.5
1985-02-01	6.5	142	58	153.2	10.2	3.1
1985-03-01	7.8	134.5	72	74	11.2	4.8
1985-04-01	14.2	201.5	69	183.8	18.3	10.3
1985-05-01	19.1	89.5	67	201.8	23	15.7
1985-06-01	20.2	381	77	104.3	23.1	17.4
1985-07-01	26.3	115	76	194.8	30.2	23.3
1985-08-01	27.9	146	74	257.8	31.6	25.1
1985-09-01	23.1	106	76	101.9	26.1	20.4
1985-10-01	17.9	92.5	66	149.4	21.5	14.6
1985-11-01	13.3	85.5	62	173.5	17.1	9.1
1985-12-01	7.4	18.5	55	202.9	11.4	3.4
1986-01-01	4.5	15	47	185.7	8.2	1
1986-02-01	4.3	27.5	49	181.6	7.9	0.8
1986-03-01	7.8	188	59	161.5	11.8	3.9
1986-04-01	13.9	88	63	175.2	18	10
1986-05-01	17.9	210	69	194.2	21.6	14.4
1986-06-01	21.1	138	74	158.1	24.4	18.3
1986-07-01	23.9	137	81	109.1	27.2	21.2
1986-08-01	26.8	233.5	74	199.8	30.4	24.1
1986-09-01	23.7	190.5	78	113.9	26.8	21
1986-10-01	17.1	74	66	155.9	20.5	13.6
1986-11-01	12.3	41	61	126	15.6	9
1986-12-01	8.5	115.5	57	163.8	12.2	4.9
1987-01-01	5.8	38	51	181.4	10	1.9
1987-02-01	6.8	29.5	55	159.2	10.7	3
1987-03-01	9.3	94	59	149.1	13.2	5.1
1987-04-01	14.4	42.5	59	199.4	18.4	10.3
1987-05-01	19.3	65	64	172.6	23.1	15.4
1987-06-01	22.1	120.5	67	193.3	25.7	18.8
1987-07-01	27	146.5	72	177.6	30.6	24.1
1987-08-01	27.3	45.5	73	159.2	30.8	24.3
1987-09-01	23.3	214.5	72	104.1	26.3	20.7
1987-10-01	18.9	193	69	145.3	22.2	15.9
1987-11-01	12.8	39.5	61	122.5	16.2	9.6
1987-12-01	8.1	60.5	60	166.7	12.4	4.1
1988-01-01	7.7	28	52	197	11.7	3.7
1988-02-01	4.9	17.5	46	178.3	8.9	1.1
1988-03-01	8.4	185	59	129.8	11.9	4.6
1988-04-01	14.3	107.5	60	183.3	18.1	10.2
1988-05-01	18.2	144	62	178.3	22.1	14.4
1988-06-01	22.3	198	72	122.6	25.5	19.4
1988-07-01	22.4	158	77	61.8	25.2	20.1
1988-08-01	27	341.5	76	143.7	30.2	24.4
1988-09-01	22.8	251.5	78	39.2	25.2	20.7
1988-10-01	17.5	58.5	60	152.1	20.8	14.4
1988-11-01	11.4	26	56	205.8	15.6	7.2
1988-12-01	8.4	0	47	213.8	12.5	4.5
1989-01-01	8.1	95	55	152.6	11.4	4.8
1989-02-01	7.5	107	56	135.5	11.1	4.3
1989-03-01	9.6	118	57	176.4	13.6	5.8
1989-04-01	15.6	187	57	218.4	19.6	11.6
1989-05-01	17.7	210	70	131.6	21.5	14.2
1989-06-01	20.7	205	71	134.6	23.8	17.8
1989-07-01	24.1	154	76	118.6	27.4	21.5
1989-08-01	27.1	360.5	72	191.5	30.5	24.5
1989-09-01	25.2	204	71	115.1	28.4	22.5
1989-10-01	17.5	197	66	134.3	20.7	14.5
1989-11-01	14.2	71	61	145.2	17.7	10.8
1989-12-01	9.2	29	51	178.9	12.8	5.7
1990-01-01	5	32.5	50	179.3	8.8	1.7
1990-02-01	7.8	116.5	67	81.6	10.5	5.1
1990-03-01	10.6	97.5	49	200.4	14.4	7
1990-04-01	14.7	137.5	59	155.4	18.6	10.8
1990-05-01	19.2	120.5	60	174.6	23.1	15.8
1990-06-01	23.5	68	68	133.4	27	20.8
1990-07-01	25.7	51	71	143.8	29.2	22.8
1990-08-01	28.6	181.5	68	230.2	32.4	25.7
1990-09-01	24.8	287	70	140.2	28.1	21.9
1990-10-01	19.2	148.5	66	137.6	22.4	16
1990-11-01	15.1	234	64	166.9	19	11.4
1990-12-01	10	38	49	197.3	13.6	6.3
1991-01-01	6.3	55	48	210.6	10.1	2.8
1991-02-01	6.5	69	45	199.3	10.5	2.5
1991-03-01	9.5	164	63	115.8	13.1	6.2
1991-04-01	15.4	112.5	64	150.7	18.8	11.9
1991-05-01	18.8	61	63	204	22.7	15.2
1991-06-01	23.6	142	73	127.7	26.9	20.8
1991-07-01	26.7	72	70	136.4	30.1	23.5
1991-08-01	25.5	238	72	138.4	29.1	22.6
1991-09-01	23.9	445.5	76	85.6	26.9	21.4
1991-10-01	18.1	533	74	74.8	20.7	15.9
1991-11-01	13	114	59	145.8	16.4	9.9
1991-12-01	9.2	36	59	143.9	12.7	5.7
1992-01-01	6.8	50	56	183.2	10.5	3.2
1992-02-01	6.9	36	49	166.4	10.8	3.1
1992-03-01	9.7	205	66	98.8	13.1	6.5
1992-04-01	15.1	167.5	61	172.5	19.1	11.1
1992-05-01	17.3	134	64	162.4	21.1	13.8
1992-06-01	20.6	237	71	113	23.7	17.8
1992-07-01	25.5	111.5	72	153.6	29.2	22.4
1992-08-01	27	9	70	184.7	30.4	24.3
1992-09-01	23.3	108	62	161.7	26.9	20.3
1992-10-01	17.3	328	71	115.6	20.5	14.3
1992-11-01	13	168	63	146.6	16.9	9.6
1992-12-01	9.4	65.5	52	164.9	12.9	6.1
1993-01-01	6.2	115	59	130	9.1	3.3
1993-02-01	7.7	57	47	195.7	11.8	3.8
1993-03-01	8.7	60.5	54	187.7	12.5	5
1993-04-01	13.4	58	54	183	17.8	9.1
1993-05-01	18.1	65.5	61	192.2	22.3	14.2
1993-06-01	21.7	260	74	110.9	25	19
1993-07-01	22.5	316.5	80	75.2	25.3	20
1993-08-01	24.8	412	76	102.2	28	22.3
1993-09-01	22.9	140	72	90.8	25.8	20.2
1993-10-01	17.5	156	63	143.5	20.8	14.4
1993-11-01	14.1	167	60	147.5	17.7	10.9
1993-12-01	8.5	65	55	153.2	12.3	5.3
1994-01-01	5.5	50	55	173.6	9.1	2.1
1994-02-01	6.6	88.5	45	206.2	10.6	3
1994-03-01	8.1	114.5	55	158.1	11.6	4.8
1994-04-01	15.8	49	57	209.5	19.8	11.4
1994-05-01	19.5	133.5	63	194.6	23.4	15.9
1994-06-01	22.4	144.5	71	136.2	26	19.1
1994-07-01	28.3	93.5	69	202.9	31.8	25.3
1994-08-01	28.9	92.5	68	239.9	32.9	25.9
1994-09-01	24.8	235	74	131.8	28.1	22
1994-10-01	20.2	57	68	76.5	23	17.5
1994-11-01	13.4	50.5	60	167	17.1	9.8
1994-12-01	9	23	53	167.3	12.8	5.2
1995-01-01	6.3	36	45	224.2	10.2	2.5
1995-02-01	6.5	27	49	179.3	10.1	2.9
1995-03-01	8.9	180	63	134.4	13	5.3
1995-04-01	15	99.5	56	158.5	19.1	11.5
1995-05-01	19.1	204.5	68	147.6	22.7	16.1
1995-06-01	20.4	185.5	77	62.6	23.5	17.8
1995-07-01	26.4	171	75	137.1	29.6	23.7
1995-08-01	29.4	31	68	248.7	33.7	26.1
1995-09-01	23.7	164.5	65	149	27.4	20.7
1995-10-01	19.5	79	63	148	23	16.5
1995-11-01	12.7	42	48	203.4	16.7	8.7
1995-12-01	7.7	0	42	235.3	12.1	3.9
1996-01-01	6.6	13	47	197.8	10.4	2.9
1996-02-01	5.4	45	48	186.8	9.4	1.7
1996-03-01	9.2	118	53	162.5	13.1	5.5
1996-04-01	12.7	111	55	204.8	17	8.5
1996-05-01	18.1	128	65	183.7	22	14.6
1996-06-01	22.6	36	72	117.8	26.4	19.5
1996-07-01	26.2	253.5	74	199.6	30	23.1
1996-08-01	26	31.5	72	149.1	30	23
1996-09-01	22.4	382	72	139	26.3	19.4
1996-10-01	18	83.5	70	139.9	21.7	14.5
1996-11-01	13.2	84	65	115.4	16.7	10.1
1996-12-01	9.3	48	55	187.8	13.6	5.3
1997-01-01	6.8	29	47	236.6	11.3	2.7
1997-02-01	7	21.5	47	191.6	11.2	3.1
1997-03-01	10.5	106	56	181.9	14.7	6.8
1997-04-01	15.2	105.5	60	184.3	19.2	11.4
1997-05-01	19.2	186	69	162.7	23.2	15.6
1997-06-01	22.7	170.5	72	160.6	26.6	19.3
1997-07-01	26.6	185	72	191.9	30.7	23.4
1997-08-01	27	144	73	176.1	30.7	23.9
1997-09-01	22.9	204	75	91.7	26.4	20.1
1997-10-01	18.7	19	60	192.6	22.8	14.8
1997-11-01	14.3	91	63	140.8	18.1	11
1997-12-01	9.2	40.5	56	153.1	12.4	5.8
1998-01-01	5.3	122	59	162.5	9.3	1.9
1998-02-01	7	110.5	60	150.4	11.3	3.6
1998-03-01	10.1	108	57	191.5	14.4	5.9
1998-04-01	16.3	188	76	108.8	20.1	12.9
1998-05-01	20.5	140.5	71	132.5	24.6	16.7
1998-06-01	21.5	150.5	76	73.1	24.6	18.5
1998-07-01	25.3	156.5	76	113.6	29	22.6
1998-08-01	27.2	143.5	78	91.7	31	24.4
1998-09-01	24.4	229	77	83.8	27.7	21.9
1998-10-01	20.1	142.5	71	117.2	23.5	17.1
1998-11-01	13.9	7.5	55	157.9	17.7	10.3
1998-12-01	9	48	57	152.4	12.6	5.5
1999-01-01	6.6	19.5	44	217	10.8	2.5
1999-02-01	6.7	35.5	44	200.9	11.2	2.5
1999-03-01	10.1	144.5	62	119	13.7	6.3
1999-04-01	15	205	66	146.3	18.7	11.5
1999-05-01	19.9	103.5	64	184	24	16.4
1999-06-01	22.8	192.5	73	135.8	26.5	19.8
1999-07-01	25.9	342	76	169	29.9	23
1999-08-01	28.5	301	74	204	32.3	25.8
1999-09-01	26.2	91	71	130.3	29.6	23.3
1999-10-01	19.5	87.5	62	158.4	23	16.1
1999-11-01	14.2	93	60	157.1	17.8	10.7
1999-12-01	9	7	47	186.3	12.7	5.1
2000-01-01	7.6	66.5	51	153.8	11.2	4.2
2000-02-01	6	4	38	207.7	9.9	2.4
2000-03-01	9.4	85.5	44	207.9	13.5	5.2
2000-04-01	14.5	151.5	55	174.9	18.7	10.7
2000-05-01	19.8	109	68	184	24	16.5
2000-06-01	22.5	232	74	129.8	26.1	19.5
2000-07-01	27.7	373.5	70	210.2	31.6	24.5
2000-08-01	28.3	162	69	185.7	32.4	25.4
2000-09-01	25.6	164	69	128.9	28.9	22.7
2000-10-01	18.8	142.5	67	97.7	21.9	16.2
2000-11-01	13.3	106	63	109.7	16.7	10.5
2000-12-01	8.8	6.5	46	172.2	12.6	5.2
2001-01-01	4.9	126.5	47	178.8	8.6	1.7
2001-02-01	6.6	23	48	153	10.7	2.8
2001-03-01	9.8	107.5	51	180.1	14.4	5.7
2001-04-01	15.7	40.5	56	219.5	20.4	11.3
2001-05-01	19.5	170.5	69	160.6	23	16.4
2001-06-01	23.1	144.5	70	107.8	26.6	20.3
2001-07-01	28.5	41.5	63	259.2	33	25.2
2001-08-01	26.4	136.5	71	94	30	23.6
2001-09-01	23.2	204	68	109.4	26.4	20.4
2001-10-01	18.7	343	62	154.6	22.5	15.5
2001-11-01	13.1	123.5	55	169.6	16.7	9.5
2001-12-01	8.4	30	46	189.9	12	4.9
