time,latitude,longitude,gids
2016-6-8T10:43:3,"35.47219119","139.58670239","183"
2016-6-8T10:43:4,"35.47219124","139.58670241","183"
2016-6-8T10:43:5,"35.47219125","139.58670244","183"
2016-6-8T10:43:6,"35.47219128","139.58670245","183"
2016-6-8T10:43:9,"35.47219136","139.58670265","183"
2016-6-8T10:43:10,"35.47219137","139.58670273","183"
2016-6-8T10:43:11,"35.47219139","139.58670278","183"
2016-6-8T10:43:14,"35.47219135","139.58670292","183"
2016-6-8T10:43:15,"35.47219133","139.58670295","183"
2016-6-8T10:43:16,"35.47219129","139.58670298","183"
2016-6-8T10:43:17,"35.47219127","139.58670292","183"
2016-6-8T10:43:20,"35.47218865","139.58669606","183"
2016-6-8T10:43:21,"35.47219233","139.58670367","183"
2016-6-8T10:43:22,"35.47219231","139.58670566","183"
2016-6-8T10:43:25,"35.47218815","139.58670114","183"
2016-6-8T10:43:26,"35.4721891","139.58670295","183"
2016-6-8T10:43:27,"35.47219156","139.58670538","183"
2016-6-8T10:43:28,"35.47219061","139.58669893","183"
2016-6-8T10:43:31,"35.47218869","139.58669115","183"
2016-6-8T10:43:32,"35.47218959","139.58669231","183"
2016-6-8T10:43:33,"35.47218977","139.58669236","183"
2016-6-8T10:43:36,"35.47218984","139.58669236","183"
2016-6-8T10:43:37,"35.4721899","139.58669236","183"
2016-6-8T10:43:38,"35.47218993","139.58669234","183"
2016-6-8T10:43:39,"35.47218993","139.58669231","183"
2016-6-8T10:43:42,"35.47218998","139.58669232","183"
2016-6-8T10:43:43,"35.47218999","139.58669231","183"
2016-6-8T10:43:44,"35.47218999","139.58669231","183"
2016-6-8T10:43:45,"35.47218998","139.58669231","183"
2016-6-8T10:43:48,"35.47219","139.58669234","183"
2016-6-8T10:43:49,"35.47219","139.58669233","183"
2016-6-8T10:43:50,"35.47218999","139.58669238","183"
2016-6-8T10:43:53,"35.47219009","139.58669264","183"
2016-6-8T10:43:54,"35.4721901","139.58669267","183"
2016-6-8T10:43:55,"35.4721901","139.58669269","183"
2016-6-8T10:43:56,"35.47219012","139.58669272","183"
2016-6-8T10:43:57,"35.47219012","139.58669274","183"
2016-6-8T10:44:0,"35.47219017","139.58669283","183"
2016-6-8T10:44:1,"35.47219017","139.58669284","183"
2016-6-8T10:44:2,"35.47219018","139.58669284","183"
2016-6-8T10:44:5,"35.47219021","139.58669287","183"
2016-6-8T10:44:6,"35.47219024","139.58669286","183"
2016-6-8T10:44:7,"35.47219024","139.58669286","183"
2016-6-8T10:44:8,"35.47219029","139.5866929","183"
2016-6-8T10:44:11,"35.47219032","139.58669293","183"
2016-6-8T10:44:12,"35.47219033","139.58669294","183"
2016-6-8T10:44:13,"35.47219033","139.58669294","183"
2016-6-8T10:44:14,"35.47219033","139.58669293","183"
