"倉敷市の月別観光施設入場者数","　","　"
"倉敷科学センター展示室","2014_08","27147"
"倉敷科学センター展示室","2014_09","6093"
"倉敷科学センター展示室","2014_10","9422"
"倉敷科学センター展示室","2014_11","5913"
"倉敷科学センター展示室","2014_12","2878"
"福田歴史民俗資料館","2014_01","150"
"福田歴史民俗資料館","2014_02","9"
"福田歴史民俗資料館","2014_03","32"
"福田歴史民俗資料館","2014_04","13"
"福田歴史民俗資料館","2014_05","21"
"福田歴史民俗資料館","2014_06","10"
"福田歴史民俗資料館","2014_07","21"
"福田歴史民俗資料館","2014_08","19"
"福田歴史民俗資料館","2014_09","11"
"福田歴史民俗資料館","2014_10","21"
"福田歴史民俗資料館","2014_11","23"
"福田歴史民俗資料館","2014_12","14"
"磯崎眠亀記念館","2014_01","341"
"磯崎眠亀記念館","2014_02","109"
"磯崎眠亀記念館","2014_03","107"
"磯崎眠亀記念館","2014_04","165"
"磯崎眠亀記念館","2014_05","171"
"磯崎眠亀記念館","2014_06","202"
"磯崎眠亀記念館","2014_07","155"
"磯崎眠亀記念館","2014_08","118"
"磯崎眠亀記念館","2014_09","156"
"磯崎眠亀記念館","2014_10","272"
"磯崎眠亀記念館","2014_11","1495"
"磯崎眠亀記念館","2014_12","160"
